rssi,mac_address,timestamp,distance,receiver
-59,B0:B4:48:BC:63:07,145904475547,4.52,False
-62,B0:B4:48:BC:63:07,145904475552,5.24,False
-60,B0:B4:48:BC:63:07,145904475553,4.76,False
-68,B0:B4:48:BC:63:07,145904475556,6.67,False
-61,B0:B4:48:BC:63:07,145904475557,5.0,False
-62,B0:B4:48:BC:63:07,145904475559,5.24,False
-60,B0:B4:48:BC:63:07,145904475560,4.76,False
-68,B0:B4:48:BC:63:07,145904475587,6.67,False
-61,B0:B4:48:BC:63:07,145904475588,5.0,False
-60,B0:B4:48:BC:63:07,145904475590,4.76,False
-62,B0:B4:48:BC:63:07,145904475591,5.24,False
-61,B0:B4:48:BC:63:07,145904475591,5.0,False
-68,B0:B4:48:BC:63:07,145904475592,6.67,False
-61,B0:B4:48:BC:63:07,145904475593,5.0,False
-62,B0:B4:48:BC:63:07,145904475594,5.24,False
-61,B0:B4:48:BC:63:07,145904475629,5.0,False
-62,B0:B4:48:BC:63:07,145904475629,5.24,False
-59,B0:B4:48:BC:63:07,145904475630,4.52,False
-68,B0:B4:48:BC:63:07,145904475631,6.67,False
-59,B0:B4:48:BC:63:07,145904475632,4.52,False
-62,B0:B4:48:BC:63:07,145904475633,5.24,False
-60,B0:B4:48:BC:63:07,145904475633,4.76,False
-68,B0:B4:48:BC:63:07,145904475634,6.67,False
-59,B0:B4:48:BC:63:07,145904475692,4.52,False
-68,B0:B4:48:BC:63:07,145904475692,6.67,False
-59,B0:B4:48:BC:63:07,145904475693,4.52,False
-68,B0:B4:48:BC:63:07,145904475694,6.67,False
-59,B0:B4:48:BC:63:07,145904475695,4.52,False
-68,B0:B4:48:BC:63:07,145904475695,6.67,False
-61,B0:B4:48:BC:63:07,145904475696,5.0,False
-68,B0:B4:48:BC:63:07,145904475697,6.67,False
-59,B0:B4:48:BC:63:07,145904475733,4.52,False
-68,B0:B4:48:BC:63:07,145904475734,6.67,False
-61,B0:B4:48:BC:63:07,145904475736,5.0,False
-68,B0:B4:48:BC:63:07,145904475737,6.67,False
-59,B0:B4:48:BC:63:07,145904475737,4.52,False
-60,B0:B4:48:BC:63:07,145904475738,4.76,False
-60,B0:B4:48:BC:63:07,145904475739,4.76,False
-68,B0:B4:48:BC:63:07,145904475740,6.67,False
-59,B0:B4:48:BC:63:07,145904475786,4.52,False
-68,B0:B4:48:BC:63:07,145904475787,6.67,False
-59,B0:B4:48:BC:63:07,145904475789,4.52,False
-68,B0:B4:48:BC:63:07,145904475790,6.67,False
-61,B0:B4:48:BC:63:07,145904475790,5.0,False
-68,B0:B4:48:BC:63:07,145904475791,6.67,False
-59,B0:B4:48:BC:63:07,145904475792,4.52,False
-62,B0:B4:48:BC:63:07,145904475793,5.24,False
-60,B0:B4:48:BC:63:07,145904475849,4.76,False
-68,B0:B4:48:BC:63:07,145904475850,6.67,False
-59,B0:B4:48:BC:63:07,145904475850,4.52,False
-68,B0:B4:48:BC:63:07,145904475852,6.67,False
-59,B0:B4:48:BC:63:07,145904475853,4.52,False
-65,B0:B4:48:BC:63:07,145904475854,5.95,False
-60,B0:B4:48:BC:63:07,145904475855,4.76,False
-68,B0:B4:48:BC:63:07,145904475856,6.67,False
-61,B0:B4:48:BC:63:07,145904475891,5.0,False
-68,B0:B4:48:BC:63:07,145904475892,6.67,False
-59,B0:B4:48:BC:63:07,145904475893,4.52,False
-60,B0:B4:48:BC:63:07,145904475894,4.76,False
-60,B0:B4:48:BC:63:07,145904475895,4.76,False
-68,B0:B4:48:BC:63:07,145904475896,6.67,False
-59,B0:B4:48:BC:63:07,145904475896,4.52,False
-68,B0:B4:48:BC:63:07,145904475897,6.67,False
-61,B0:B4:48:BC:63:07,145904475964,5.0,False
-65,B0:B4:48:BC:63:07,145904475965,5.95,False
-60,B0:B4:48:BC:63:07,145904475966,4.76,False
-68,B0:B4:48:BC:63:07,145904475967,6.67,False
-61,B0:B4:48:BC:63:07,145904475968,5.0,False
-62,B0:B4:48:BC:63:07,145904475969,5.24,False
-60,B0:B4:48:BC:63:07,145904475970,4.76,False
-68,B0:B4:48:BC:63:07,145904475970,6.67,False
-61,B0:B4:48:BC:63:07,145904475971,5.0,False
-60,B0:B4:48:BC:63:07,145904476016,4.76,False
-60,B0:B4:48:BC:63:07,145904476017,4.76,False
-68,B0:B4:48:BC:63:07,145904476018,6.67,False
-63,B0:B4:48:BC:63:07,145904476019,5.48,False
-60,B0:B4:48:BC:63:07,145904476020,4.76,False
-60,B0:B4:48:BC:63:07,145904476021,4.76,False
-68,B0:B4:48:BC:63:07,145904476022,6.67,False
-59,B0:B4:48:BC:63:07,145904476022,4.52,False
-68,B0:B4:48:BC:63:07,145904476068,6.67,False
-59,B0:B4:48:BC:63:07,145904476069,4.52,False
-68,B0:B4:48:BC:63:07,145904476070,6.67,False
-63,B0:B4:48:BC:63:07,145904476071,5.48,False
-68,B0:B4:48:BC:63:07,145904476072,6.67,False
-61,B0:B4:48:BC:63:07,145904476073,5.0,False
-68,B0:B4:48:BC:63:07,145904476074,6.67,False
-59,B0:B4:48:BC:63:07,145904476075,4.52,False
-68,B0:B4:48:BC:63:07,145904476110,6.67,False
-61,B0:B4:48:BC:63:07,145904476111,5.0,False
-68,B0:B4:48:BC:63:07,145904476113,6.67,False
-59,B0:B4:48:BC:63:07,145904476113,4.52,False
-68,B0:B4:48:BC:63:07,145904476114,6.67,False
-61,B0:B4:48:BC:63:07,145904476115,5.0,False
-68,B0:B4:48:BC:63:07,145904476116,6.67,False
-59,B0:B4:48:BC:63:07,145904476116,4.52,False
-68,B0:B4:48:BC:63:07,145904476153,6.67,False
-61,B0:B4:48:BC:63:07,145904476155,5.0,False
-68,B0:B4:48:BC:63:07,145904476156,6.67,False
-59,B0:B4:48:BC:63:07,145904476156,4.52,False
